iata,city,state,latitude,longitude
68S,Davenport,WA,47.65404528,-118.1677519
6A1,Butler,GA,32.56736694,-84.25074833
6A2,Griffin,GA,33.22697222,-84.27494444
6A3,Andrews,NC,35.19453167,-83.86490194
6A4,Mountain City,TN,36.41789833,-81.82511528
6A8,Allakaket,AK,66.55194444,-152.6222222
6B0,Middlebury,VT,43.98478278,-73.09594889
6B4,Utica/Frankfort,NY,43.02090306,-75.17043861
6B6,Stow,MA,42.46045361,-71.51791444
6B8,Lyndonville,VT,44.56911417,-72.01797889
6B9,Skaneateles,NY,42.91395583,-76.44076889
6D6,Greenville,MI,43.14228139,-85.25380722
6D8,Valley City,ND,46.94100778,-98.01762611
6F1,Talihina,OK,34.70777139,-95.07378583
6G1,Titusville,PA,41.60880861,-79.74133111
6G5,Barnesville,OH,40.00243139,-81.19183
6I2,Springfield,KY,37.63355556,-85.24216667
6J0,Pelion,SC,33.79463889,-81.24586111
6J2,St George,SC,33.1955,-80.50847222
6J4,Saluda,SC,33.92680111,-81.79455306
6K3,Creighton,NE,42.47083694,-97.88367778
6K4,Fairview,OK,36.29014667,-98.47582833
6K8,Tok,AK,63.32881806,-142.9536194
6L4,Logan,WV,37.85567778,-81.91589722
6M2,Horseshoe Bend,AR,36.21673389,-91.75014556
6M6,Monticello,MO,40.12916667,-91.67833333
6M7,Marianna,AR,34.78027778,-90.81055556
6M8,Marked Tree,AR,35.53341472,-90.40149028
6N5,New York,NY,40.74260167,-73.97208306
6N7,New York,NY,40.73399083,-73.97291639
6N8,Thedford,NE,41.96217028,-100.5690139
6R3,Cleveland,TX,30.35643,-95.00801472
6R7,Old Harbor,AK,57.21810306,-153.2697494
6R9,Llano,TX,30.78450278,-98.66025083
6S0,Big Timber,MT,45.80638889,-109.9811111
6S2,Florence,OR,43.97901,-124.1095631
6S3,Columbus,MT,45.6291075,-109.2507167
6S5,Hamilton,MT,46.25149444,-114.1255403
6S8,Laurel,MT,45.70308833,-108.7610886
6V0,Edgemont,SD,43.29525056,-103.8435325
6V3,Richlands,VA,37.06374667,-81.79826944
6V4,Wall,SD,43.99498861,-102.2504367
6V6,Nucla,CO,38.23879833,-108.5632597
70J,Cairo,GA,30.88797667,-84.15473528
71J,Ozark,AL,31.43113889,-85.61922222
72S,Rosalia,WA,47.23683778,-117.4210244
73C,Lancaster,WI,42.78054722,-90.68096028
73J,Beaufort,SC,32.4121375,-80.63455083
74D,Moundsville,WV,39.88083333,-80.73577778
74S,Anacortes,WA,48.4989925,-122.6623956
74V,Roosevelt,UT,40.27829167,-110.0512619
75J,Ashburn,GA,31.68545833,-83.63211194
76G,Marine City,MI,42.72086583,-82.59574694
77G,Marlette,MI,43.31183,-83.09091444
77S,Creswell,OR,43.93206889,-123.0067483
78D,Caro,MI,43.45908333,-83.44522222
79D,Philippi,WV,39.16620778,-80.06258056
79J,Andalusia,AL,31.30875278,-86.39376083
79S,Fort Benton,MT,47.84583333,-110.6336111
7A0,Greensboro,AL,32.68147222,-87.66208333
7A2,Demopolis,AL,32.46381944,-87.95406389
7A3,Lanett,AL,32.81204611,-85.22958111
7A5,Roanoke,AL,33.12928722,-85.366615
7A8,Spruce Pine,NC,35.94457028,-81.99566944
7B2,Northampton,MA,42.32816806,-72.61151667
7D2,Troy,MI,42.54294389,-83.17790861
7F3,Caddo Mills,TX,33.03622222,-96.24313889
7F6,Clarksville,TX,33.59316472,-95.06355528
7F7,Clifton,TX,31.81682333,-97.56696361
7F9,Comanche,TX,31.91681306,-98.600325
7G0,Brockport,NY,43.18118194,-77.91362333
7G8,Middlefield,OH,41.44960972,-81.06292972
7I7,Bellefontaine,OH,40.41208333,-83.73686111
7K0,Pikeville,KY,37.56173889,-82.56660694
7K2,Skagway,AK,59.44689528,-135.3226633
7K4,Hartford,KY,37.45832417,-86.84995194
7K8,South Sioux City,NE,42.45416111,-96.47253111
7KA,Tatitlek,AK,60.86890528,-146.6864653
7M1,McGehee,AR,33.62022111,-91.36484056
7M3,Mount Ida,AR,34.52926056,-93.52713472
7M4,Osceola,AR,35.69114639,-90.01012028
7M5,Ozark,AR,35.51069583,-93.8393075
7M7,Piggott,AR,36.37820556,-90.16624167
7N0,New Orleans,LA,29.95194444,-90.08166667
